EPOCH	1	Loss
Loss:	=	1.901
Loss:	=	4.062
Loss:	=	0.723
Loss:	=	0.787
Loss:	=	0.7
Loss:	=	0.665
Loss:	=	0.601
Loss:	=	0.58
Loss:	=	0.55
Loss:	=	0.556
Loss:	=	0.506
Loss:	=	0.425
Loss:	=	0.454
Loss:	=	0.384
Loss:	=	0.379
Loss:	=	0.364
Loss:	=	0.334
Loss:	=	0.315
Loss:	=	0.354
Loss:	=	0.432
Loss:	=	0.414
Loss:	=	0.522
Loss:	=	0.455
Loss:	=	0.325
Loss:	=	0.364
Loss:	=	0.443
Loss:	=	0.408
Loss:	=	0.35
Loss:	=	0.356
Loss:	=	0.293
Loss:	=	0.303
Loss:	=	0.23
Loss:	=	0.493
Loss:	=	0.226
Loss:	=	0.271
Loss:	=	0.312
Loss:	=	0.198
Loss:	=	0.261
Loss:	=	0.3
Loss:	=	0.313
Loss:	=	0.292
Loss:	=	0.247
Loss:	=	0.268
Loss:	=	0.228
Loss:	=	0.224
Loss:	=	0.224
Loss:	=	0.239
Loss:	=	0.249
Loss:	=	0.194
Loss:	=	0.187
Loss:	=	0.188
Loss:	=	0.176
Loss:	=	0.226
Loss:	=	0.292
Loss:	=	0.221
Loss:	=	0.187
Loss:	=	0.176
Loss:	=	0.261
		
EPOCH	2	
Loss:	=	0.186
Loss:	=	0.154
Loss:	=	0.181
Loss:	=	0.206
Loss:	=	0.186
Loss:	=	0.203
Loss:	=	0.159
Loss:	=	0.168
Loss:	=	0.147
Loss:	=	0.232
Loss:	=	0.145
Loss:	=	0.177
Loss:	=	0.151
Loss:	=	0.19
Loss:	=	0.28
Loss:	=	0.179
Loss:	=	0.11
Loss:	=	0.136
Loss:	=	0.267
Loss:	=	0.188
Loss:	=	0.149
Loss:	=	0.201
Loss:	=	0.196
Loss:	=	0.166
Loss:	=	0.211
Loss:	=	0.141
Loss:	=	0.15
Loss:	=	0.178
Loss:	=	0.174
Loss:	=	0.13
Loss:	=	0.134
Loss:	=	0.142
Loss:	=	0.151
Loss:	=	0.152
Loss:	=	0.21
Loss:	=	0.162
Loss:	=	0.132
Loss:	=	0.284
Loss:	=	0.202
Loss:	=	0.174
Loss:	=	0.223
Loss:	=	0.285
Loss:	=	0.244
Loss:	=	0.224
Loss:	=	0.166
Loss:	=	0.266
Loss:	=	0.185
Loss:	=	0.194
Loss:	=	0.203
Loss:	=	0.184
Loss:	=	0.21
Loss:	=	0.17
Loss:	=	0.226
Loss:	=	0.168
Loss:	=	0.162
Loss:	=	0.25
Loss:	=	0.174
Loss:	=	0.162
		
EPOCH	3	
Loss:	=	0.23
Loss:	=	0.171
Loss:	=	0.179
Loss:	=	0.153
Loss:	=	0.099
Loss:	=	0.195
Loss:	=	0.152
Loss:	=	0.154
Loss:	=	0.17
Loss:	=	0.188
Loss:	=	0.119
Loss:	=	0.162
Loss:	=	0.222
Loss:	=	0.192
Loss:	=	0.19
Loss:	=	0.166
Loss:	=	0.111
Loss:	=	0.146
Loss:	=	0.19
Loss:	=	0.163
Loss:	=	0.187
Loss:	=	0.156
Loss:	=	0.168
Loss:	=	0.235
Loss:	=	0.129
Loss:	=	0.137
Loss:	=	0.154
Loss:	=	0.107
Loss:	=	0.139
Loss:	=	0.171
Loss:	=	0.141
Loss:	=	0.191
Loss:	=	0.159
Loss:	=	0.142
Loss:	=	0.13
Loss:	=	0.14
Loss:	=	0.105
Loss:	=	0.135
Loss:	=	0.132
Loss:	=	0.126
Loss:	=	0.242
Loss:	=	0.17
Loss:	=	0.155
Loss:	=	0.243
Loss:	=	0.167
Loss:	=	0.158
Loss:	=	0.141
Loss:	=	0.144
Loss:	=	0.146
Loss:	=	0.162
Loss:	=	0.142
Loss:	=	0.163
Loss:	=	0.124
Loss:	=	0.14
Loss:	=	0.156
Loss:	=	0.166
Loss:	=	0.131
Loss:	=	0.086
		
EPOCH	4	
Loss:	=	0.101
Loss:	=	0.156
Loss:	=	0.194
Loss:	=	0.094
Loss:	=	0.118
Loss:	=	0.128
Loss:	=	0.108
Loss:	=	0.17
Loss:	=	0.101
Loss:	=	0.122
Loss:	=	0.151
Loss:	=	0.169
Loss:	=	0.17
Loss:	=	0.12
Loss:	=	0.189
Loss:	=	0.125
Loss:	=	0.177
Loss:	=	0.164
Loss:	=	0.127
Loss:	=	0.156
Loss:	=	0.169
Loss:	=	0.132
Loss:	=	0.109
Loss:	=	0.133
Loss:	=	0.133
Loss:	=	0.127
Loss:	=	0.116
Loss:	=	0.134
Loss:	=	0.164
Loss:	=	0.201
Loss:	=	0.14
Loss:	=	0.152
Loss:	=	0.143
Loss:	=	0.177
Loss:	=	0.158
Loss:	=	0.181
Loss:	=	0.144
Loss:	=	0.135
Loss:	=	0.13
Loss:	=	0.155
Loss:	=	0.089
Loss:	=	0.093
Loss:	=	0.114
Loss:	=	0.133
Loss:	=	0.119
Loss:	=	0.096
Loss:	=	0.089
Loss:	=	0.137
Loss:	=	0.157
Loss:	=	0.093
Loss:	=	0.148
Loss:	=	0.144
Loss:	=	0.113
Loss:	=	0.132
Loss:	=	0.148
Loss:	=	0.187
Loss:	=	0.158
Loss:	=	0.111
		
EPOCH	5	
Loss:	=	0.122
Loss:	=	0.093
Loss:	=	0.14
Loss:	=	0.094
Loss:	=	0.102
Loss:	=	0.235
Loss:	=	0.086
Loss:	=	0.119
Loss:	=	0.145
Loss:	=	0.166
Loss:	=	0.38
Loss:	=	0.153
Loss:	=	0.206
Loss:	=	0.15
Loss:	=	0.151
Loss:	=	0.118
Loss:	=	0.175
Loss:	=	0.13
Loss:	=	0.142
Loss:	=	0.166
Loss:	=	0.15
Loss:	=	0.097
Loss:	=	0.122
Loss:	=	0.186
Loss:	=	0.155
Loss:	=	0.115
Loss:	=	0.149
Loss:	=	0.123
Loss:	=	0.108
Loss:	=	0.112
Loss:	=	0.164
Loss:	=	0.234
Loss:	=	0.116
Loss:	=	0.227
Loss:	=	0.14
Loss:	=	0.16
Loss:	=	0.23
Loss:	=	0.215
Loss:	=	0.152
Loss:	=	0.136
Loss:	=	0.194
Loss:	=	0.158
Loss:	=	0.118
Loss:	=	0.1
Loss:	=	0.178
Loss:	=	0.132
Loss:	=	0.191
Loss:	=	0.128
Loss:	=	0.147
Loss:	=	0.113
Loss:	=	0.176
Loss:	=	0.137
Loss:	=	0.199
